,totalTravelTimeInSec,totalPrice,totalNumberOfChanges,totalWalkingDistance,totalWaitingTime,odPair_id,sourceName,targetName
mean,14721.344129554656,18.990091914585243,1.2753036437246963,0.18145416661862085,3346.9554655870447,5-8,Bonn,Duisburg
max,49804.0,27.46711330397298,2.0,0.36423891386674095,43483.0,5-8,Bonn,Duisburg
min,2580.0,7.458855949962151,0.0,0.0,0.0,18-23,Köln,Oberhausen
mean,7999.164179104478,14.133187367925002,1.0746268656716418,0.11507281193602008,1330.6716417910447,18-23,Köln,Oberhausen
max,15116.0,22.414308945504576,2.0,0.414242284369868,7919.0,18-23,Köln,Oberhausen
min,2168.0,10.776430488928762,0.0,0.0,0.0,12-28,Essen,Wuppertal
mean,7835.473282442748,43.47399920394037,1.0,0.07829023256130081,888.1679389312977,12-28,Essen,Wuppertal
max,31260.0,318.0076426704801,2.0,0.3053475133452129,8100.0,12-28,Essen,Wuppertal
min,5166.0,31.661462863758,0.0,0.0,0.0,1-28,Aachen,Wuppertal
mean,7768.645161290323,37.81041420175177,0.7419354838709677,0.0,1141.9354838709678,1-28,Aachen,Wuppertal
max,18180.0,130.33067760901383,1.0,0.0,6900.0,1-28,Aachen,Wuppertal
min,1080.0,3.0452255919879985,0.0,0.0,0.0,9-23,Düsseldorf,Oberhausen
mean,1731.6,7.23084897678393,0.0,0.08139720516132298,0.0,9-23,Düsseldorf,Oberhausen
max,3325.0,10.972765726528936,0.0,0.4522066953406832,0.0,9-23,Düsseldorf,Oberhausen
min,7440.0,23.134309618073612,0.0,0.0,0.0,19-22,Leipzig,Nürnberg
mean,11026.407407407407,69.1342960095513,0.0,0.08726219471075454,0.0,19-22,Leipzig,Nürnberg
max,16550.0,93.32177361690857,0.0,0.4874646739014561,0.0,19-22,Leipzig,Nürnberg
min,5400.0,12.345925374607491,0.0,0.0,0.0,29-6,Würzburg,Darmstadt
mean,8111.251851851852,30.14843769505797,0.8222222222222222,0.08660650690799972,603.9703703703703,29-6,Würzburg,Darmstadt
max,25860.0,43.241448507635106,1.0,0.3475138524474588,20640.0,29-6,Würzburg,Darmstadt
min,7427.0,15.0,0.0,0.0,0.0,18-16,Köln,Heidelberg
mean,9777.275,55.316788379725956,0.625,0.22150320162753231,351.275,18-16,Köln,Heidelberg
max,13440.0,75.30832468395263,2.0,0.6317246641289922,6720.0,18-16,Köln,Heidelberg
min,4582.0,26.0,0.0,0.0,0.0,1-25,Aachen,Solingen
mean,12454.707692307693,33.82480984272022,0.9076923076923077,0.05249812561410417,831.8076923076923,1-25,Aachen,Solingen
