totaltraveltimeinsec,totalprice,totalnumberofchanges,totalwalkingdistance,totalwaitingtime,objective,finiteautomaton,consideredpreferences,finalsolutionusedlabels,sourcename,targetname
0.9,22.5,1,383,0.2,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,27.4,2,273,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,91.0,2,632,0.2,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.6,91.0,2,632,0.1,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.6,96.4,2,632,0.1,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.5,96.4,1,632,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.7,29.4,1,273,0.0,travelTime,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[blablacar, db_fv]",Heidelberg,Oberhausen
1.3,96.0,2,0,0.8,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Heidelberg,Oberhausen
1.3,96.0,2,0,0.8,travelTime,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Heidelberg,Oberhausen
0.9,60.7,2,383,0.0,waitingTime,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.9,40.1,2,499,0.0,travelTime,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.9,27.4,2,273,0.3,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[blablacar, db_fv]",Heidelberg,Oberhausen
1.0,30.1,2,437,0.0,waitingTime,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[flixbus],Heidelberg,Oberhausen
0.9,22.5,1,383,0.2,price,noFlights,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,29.4,1,273,0.0,price,noFlights,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.5,96.4,1,632,0.0,price,noFlights,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.3,26.0,0,0,0.0,price,all,"[travelTime, price]",[db_fv],Aachen,Bonn
0.2,27.8,0,0,0.0,price,all,"[travelTime, price]",[car],Aachen,Bonn
0.2,28.2,0,0,0.0,price,all,"[travelTime, price]",[db_fv],Aachen,Bonn
0.5,26.0,0,0,0.0,price,ptOnly,"[travelTime, price]",[db_fv],Aachen,Bonn
0.3,26.0,0,0,0.0,price,ptOnly,"[travelTime, price]",[db_fv],Aachen,Bonn
0.3,28.2,0,0,0.0,price,ptOnly,"[travelTime, price]",[db_fv],Aachen,Bonn
0.2,28.2,0,0,0.0,price,ptOnly,"[travelTime, price]",[db_fv],Aachen,Bonn
0.5,26.0,0,0,0.0,price,noFlights,"[travelTime, price]",[db_fv],Aachen,Bonn
0.3,26.0,0,0,0.0,price,noFlights,"[travelTime, price]",[db_fv],Aachen,Bonn
0.2,27.8,0,0,0.0,price,noFlights,"[travelTime, price]",[car],Aachen,Bonn
0.2,28.2,0,0,0.0,price,noFlights,"[travelTime, price]",[db_fv],Aachen,Bonn
0.3,26.0,1,0,0.0,price,all,"[travelTime, price, numberofChanges]",[db_fv],Aachen,Bonn
0.2,28.2,1,0,0.0,price,all,"[travelTime, price, numberofChanges]",[db_fv],Aachen,Bonn
0.5,26.0,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]",[db_fv],Aachen,Bonn
0.3,26.0,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]",[db_fv],Aachen,Bonn
0.3,28.2,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]",[db_fv],Aachen,Bonn
0.2,28.2,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]",[db_fv],Aachen,Bonn
0.4,28.2,1,0,0.0,numberofChanges,ptOnly,"[travelTime, price, numberofChanges]",[db_fv],Aachen,Bonn
0.5,26.0,1,0,0.0,price,noFlights,"[travelTime, price, numberofChanges]",[db_fv],Aachen,Bonn
0.3,26.0,1,0,0.0,price,noFlights,"[travelTime, price, numberofChanges]",[db_fv],Aachen,Bonn
0.2,28.2,1,0,0.0,price,noFlights,"[travelTime, price, numberofChanges]",[db_fv],Aachen,Bonn
0.3,26.0,1,0,0.2,price,all,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Aachen,Bonn
0.2,28.2,1,0,0.0,price,all,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Aachen,Bonn
0.2,28.2,1,0,0.0,travelTime,all,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Aachen,Bonn
0.5,26.0,1,0,0.3,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Aachen,Bonn
0.3,26.0,1,0,0.2,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Aachen,Bonn
0.3,28.2,1,0,0.1,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Aachen,Bonn
0.2,28.2,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Aachen,Bonn
0.2,28.2,1,0,0.0,travelTime,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Aachen,Bonn
0.4,28.2,1,0,0.3,numberofChanges,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Aachen,Bonn
0.5,26.0,1,0,0.3,price,noFlights,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Aachen,Bonn
0.3,26.0,1,0,0.2,price,noFlights,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Aachen,Bonn
0.2,28.2,1,0,0.0,price,noFlights,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Aachen,Bonn
0.2,28.2,1,0,0.0,travelTime,noFlights,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Aachen,Bonn
0.2,2.4,0,0,0.0,price,all,"[travelTime, price]",[flixbus],Bochum,Gelsenkirchen
0.1,2.4,0,0,0.0,price,all,"[travelTime, price]",[flixbus],Bochum,Gelsenkirchen
0.1,3.8,0,0,0.0,price,all,"[travelTime, price]",[car],Bochum,Gelsenkirchen
0.2,2.4,0,0,0.0,price,ptOnly,"[travelTime, price]",[flixbus],Bochum,Gelsenkirchen
0.1,2.4,0,0,0.0,price,ptOnly,"[travelTime, price]",[flixbus],Bochum,Gelsenkirchen
0.1,4.6,0,0,0.0,price,ptOnly,"[travelTime, price]","[db_fv, flixbus]",Bochum,Gelsenkirchen
0.1,6.6,0,0,0.0,price,ptOnly,"[travelTime, price]",[db_fv],Bochum,Gelsenkirchen
0.1,7.2,0,0,0.0,price,ptOnly,"[travelTime, price]",[db_fv],Bochum,Gelsenkirchen
0.2,2.4,0,0,0.0,price,noFlights,"[travelTime, price]",[flixbus],Bochum,Gelsenkirchen
0.1,2.4,0,0,0.0,price,noFlights,"[travelTime, price]",[flixbus],Bochum,Gelsenkirchen
0.1,3.8,0,0,0.0,price,noFlights,"[travelTime, price]",[car],Bochum,Gelsenkirchen
0.2,2.4,1,0,0.0,price,all,"[travelTime, price, numberofChanges]",[flixbus],Bochum,Gelsenkirchen
0.1,2.4,1,0,0.0,price,all,"[travelTime, price, numberofChanges]",[flixbus],Bochum,Gelsenkirchen
0.2,2.4,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]",[flixbus],Bochum,Gelsenkirchen
0.1,2.4,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]",[flixbus],Bochum,Gelsenkirchen
0.1,4.6,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]","[db_fv, flixbus]",Bochum,Gelsenkirchen
